carId,carPrice,carLoan,carYear,kmStart,kmEnd,carType,carMerk,carPhoto
TAG,"Rp90,000,000.00",2000000,2016,90000,95000,Toyota,Agya,https://apollo.olx.co.id/v1/files/6641bc3c6c5ed-ID/image;s=600x1200;q=60
TAG,"Rp82,000,000.00",1800000,2015,100000,105000,Toyota,Agya,https://apollo.olx.co.id/v1/files/6641bc3c6c5ed-ID/image;s=600x1200;q=60
TAG,"Rp74,000,000.00",1600000,2013,85000,90000,Toyota,Agya,https://apollo.olx.co.id/v1/files/6641bc3c6c5ed-ID/image;s=600x1200;q=60
TAG,"Rp89,000,000.00",2000000,2013,80000,85000,Toyota,Agya,https://apollo.olx.co.id/v1/files/6641bc3c6c5ed-ID/image;s=600x1200;q=60
TAG,"Rp93,000,000.00",2100000,2016,65000,70000,Toyota,Agya,https://apollo.olx.co.id/v1/files/6641bc3c6c5ed-ID/image;s=600x1200;q=60
TAG,"Rp91,000,000.00",2000000,2013,135000,140000,Toyota,Agya,https://apollo.olx.co.id/v1/files/6641bc3c6c5ed-ID/image;s=600x1200;q=60
TAG,"Rp95,000,000.00",2100000,2014,200000,205000,Toyota,Agya,https://apollo.olx.co.id/v1/files/6641bc3c6c5ed-ID/image;s=600x1200;q=60
TAG,"Rp95,000,000.00",2100000,2015,140000,145000,Toyota,Agya,https://apollo.olx.co.id/v1/files/6641bc3c6c5ed-ID/image;s=600x1200;q=60
TAG,"Rp97,000,000.00",2100000,2016,15000,20000,Toyota,Agya,https://apollo.olx.co.id/v1/files/6641bc3c6c5ed-ID/image;s=600x1200;q=60
TAG,"Rp96,000,000.00",2100000,2015,80000,85000,Toyota,Agya,https://apollo.olx.co.id/v1/files/6641bc3c6c5ed-ID/image;s=600x1200;q=60
TAG,"Rp89,000,000.00",2000000,2013,80000,85000,Toyota,Agya,https://apollo.olx.co.id/v1/files/6641bc3c6c5ed-ID/image;s=600x1200;q=60
TAG,"Rp95,000,000.00",2100000,2016,90000,95000,Toyota,Agya,https://apollo.olx.co.id/v1/files/6641bc3c6c5ed-ID/image;s=600x1200;q=60
TAG,"Rp89,000,000.00",2000000,2016,70000,75000,Toyota,Agya,https://apollo.olx.co.id/v1/files/6641bc3c6c5ed-ID/image;s=600x1200;q=60
TAG,"Rp100,000,000.00",2200000,2016,55000,60000,Toyota,Agya,https://apollo.olx.co.id/v1/files/6641bc3c6c5ed-ID/image;s=600x1200;q=60
TAG,"Rp85,000,000.00",1900000,2013,25000,30000,Toyota,Agya,https://apollo.olx.co.id/v1/files/6641bc3c6c5ed-ID/image;s=600x1200;q=60
TAL,"Rp345,000,000.00",7800000,2014,100000,105000,Toyota,Alphard,
SAPV,"Rp98,000,000.00",2200000,2012,105000,110000,Suzuki,APV,
SAPV,"Rp98,000,000.00",2200000,2012,105000,110000,Suzuki,APV,
SAPV,"Rp89,000,000.00",2000000,2011,95000,100000,Suzuki,APV,
SAPV,"Rp75,000,000.00",1700000,2009,140000,145000,Suzuki,APV,
SAPVA,"Rp87,000,000.00",1900000,2013,95000,100000,Suzuki,APV Arena,
SAPVA,"Rp146,000,000.00",3300000,2020,45000,50000,Suzuki,APV Arena,
SAPVA,"Rp146,000,000.00",3300000,2020,45000,50000,Suzuki,APV Arena,
SAPVA,"Rp107,000,000.00",2400000,2015,55000,60000,Suzuki,APV Arena,
SKARE,"Rp64,000,000.00",1400000,2008,65000,70000,Suzuki,Karimun Estillo,
SKARW,"Rp76,000,000.00",1700000,2015,140000,145000,Suzuki,Karimun Wagon,
